課程代碼,course_name, ,人數指標,影片個數x,問題個數y,討論個數z,總登入次數, ,登入指標,影片觀看度a,作答度b,討論度c,參與指標,熱門參與度
E31,思倫理看科學 - 一場思辨之旅,66,39.6,65,320,2,327,4.954545455,1.55,5.52,8.57,9.2,7.74,12.88
SD27,東方宗教養生學(佛教篇),66,39.6,71,0,1,176,2.666666667,3.76,4.63,0,0,1.57,9.62
XF01,太陽能教學聯盟中心─聚光型太陽能電池發展趨勢,65,39,30,20,3,437,6.723076923,22.41,23.85,65.46,6,31.69,31.3
E08,初級越語II,63,37.8,31,0,0,152,2.412698413,7.78,3.12,0,0,1.06,9.75
SE43,創業九宮格,62,37.2,28,3,0,120,1.935483871,6.91,3.97,2.15,0,2.06,10.06
D15,從車庫到金庫─看見台灣企業生命力,61,36.6,92,45,0,485,7.950819672,8.64,6.33,8.49,0,4.95,12.02
E10,普通化學-原子結構與原子間的鍵結,60,36,49,115,0,215,3.583333333,3.12,15.17,9.84,0,8.41,12.87
SD35,空間資訊與智慧生活,58,34.8,17,183,0,128,2.206896552,1.21,4.26,4.04,0,2.78,8.87
SE85,中藥概論,57,34.2,85,321,0,88,1.543859649,0.48,2.15,0.21,0,0.8,7.42
XF06,住商與運輸節能教學聯盟中心-住商節能科技,55,33,28,18,8,338,6.145454545,21.95,18.31,86.16,2.8,35.58,32.34
F20,教育社會學,55,33,14,49,1,230,4.181818182,8.53,13.64,6.42,0,6.75,12.36
SE17,臺灣客家文化導論,54,32.4,53,247,0,194,3.592592593,1.45,11.11,8.32,0,6.52,10.69
SE09,量子物理導論,53,31.8,72,57,0,94,1.773584906,2.46,1.26,0.1,0,0.46,7.13
E24,論有效的跨文化溝通技巧,52,31.2,20,249,12,489,9.403846154,3.78,14.9,27.59,78.4,40.05,31.02
XF10,生質能教學聯盟中心─生質能源,52,31.2,24,121,0,24,0.461538462,0.38,0.24,0.1,0,0.11,6.38
SE05,餐廳科技管理與應用實務,51,30.6,129,188,0,113,2.215686275,1.18,1.72,0.8,0,0.85,6.87
SD30,生態旅遊與永續觀光,50,30,19,0,0,132,2.64,13.89,7.79,0,0,2.65,10.37
SE45,把智慧嵌入這個大千世界,50,30,38,60,2,126,2.52,4.2,12.37,5.67,4,7.4,11.28
SE70,2D動畫製作,50,30,95,10,0,115,2.3,2.42,2.8,9.02,0,3.93,8.84
